Item Id,SKU,Brand,Type,Suitable For,Features,Items included,Number of Batteries,Number of User Codes,Number in Pack,Material,Shape,Color,Mounting,Battery Size,Finish,Extension Length,Closing Type,Item Width,Center-to-Center Measurement,Battery Required,Fixings Supplied,Item Height,Item Length,Item Depth,Country/Region of Manufacture,Item Diameter,Door Handing,Smart Home Compatibility,Smart Home Protocol,Load Capacity,Core Type,MPN,Model,ANSI Grade,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Weight,Manufacturer Warranty,
"255488685000","ZX9TPNTD240635","Gan Eden","Furniture & Decor","Commercial","Commercial","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","GA1633677","","","","","","","",
"255488716071","ZX9TPNTD240772","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2057515","","","","","","","",
"265644601578","ZX9TPNTD240753","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2178085","","","","","","","",
"255483654962","ZX9TPNTD240903","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2030629","","","","","","","",
"265634309158","ZX9TPNTD240766","Gan Eden","Furniture & Decor","Commercial","Commercial","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","GA2005199","","","","","","","",
"255483936184","ZX9TPNTD240673","Gan Eden","Furniture & Decor","Commercial","Commercial","","","","","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1629319","","","","","","","",
"255488815485","ZX9TPNTD240670","Gan Eden","Furniture & Decor","Commercial","Commercial","","","","","Aluminum","","","","","","","","","","","","","","","","","","","","","","GA1629318","","","","","","","",
"255488849292","ZX9TPNTD240671","Gan Eden","Furniture & Decor","Commercial","Commercial","","","","","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1634307","","","","","","","",
"255483750965","ZX9TPNTD240771","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA1634308","","","","","","","",
"255483846059","ZX9TPNTD240751","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2005198","","","","","","","",
"265639703457","ZX9TPNTD240752","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2063994","","","","","","","",
"255476901942","ZX9TPNTD240909","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2178088","","","","","","","",
"255476964425","ZX9TPNTD240898","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA1628718","","","","","","","",
"255488768591","ZX9TPNTD240746","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1632881","","","","","","","",
"265644585950","ZX9TPNTD240748","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1628715","","","","","","","",
"255483789646","ZX9TPNTD240770","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2030627","","","","","","","",
"265634275332","ZX9TPNTD240750","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA1636485","","","","","","","",
"255488848163","ZX9TPNTD240902","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2057520","","","","","","","",
"265639713714","ZX9TPNTD240897","Gan Eden","Furniture & Decor","Commercial","Commercial","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","GA2057519","","","","","","","",
"265644596463","ZX9TPNTD240662","Gan Eden","Furniture & Decor","Commercial","Commercial","","","","","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1632879","","","","","","","",
"255488816446","ZX9TPNTD236641","New CourtYard","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","NE2054389","","","","","","","",
"255476983654","TPNTD236467","Corbin Russwin","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","688F77690","","","","","","","",
"265639802822","TPNTD236488","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3155NZD626","","","","","","","",
"255483760730","TPNTD236520","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351AZD626","","","","","","","",
"265644499067","TPNTD236523","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351NZD613","","","","","","","",
"265639667940","TPNTD236524","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351NZD625","","","","","","","",
"265634309974","TPNTD236525","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351NZD626","","","","","","","",
"265634256227","TPNTD236530","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351PZD613","","","","","","","",
"255483765463","TPNTD236531","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3351PZD626","","","","","","","",
"265639518941","TPNTD236535","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3355AZD613","","","","","","","",
"265639813979","TPNTD236537","Corbin Russwin","Furniture & Decor","","","","","","","Zinc","","","","D","","","","","","","","","","","","","","","","","","CL3355NZD612","","","","","","","",
