Item Id,SKU,Type,Material,Style,Features,Color,Brand,Room,Number of Panels,Theme,Mounting,Country/Region of Manufacture,Pattern,Item Height,Item Length,Orientation,Department,Item Width,Additional Parts Required,MPN,Model,Item Weight,Custom Bundle,Care Instructions,Customized,Product Line,Bundle Description,California Prop 65 Warning,
"255534495066","SCRNGEM419","Decor","","","","Black","Screen Gems","","3","","","","","","","","","","","SG-237 BLACK","","","","","","","","",
"265668948510","SCRNGE1867","Decor","","","","Blue","Screen Gems","","3","","","","","","","","","","","SG-237 DARK BLUE","","","","","","","","",
"255524268006","SCRNGEM422","Decor","","","","Green","Screen Gems","","3","","","","","","","","","","","SG-237 GREEN","","","","","","","","",
"255509666753","SCRNGE1868","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-237 GREY","","","","","","","","",
"265669339833","SCRNGE1872","Decor","","","","Blue","Screen Gems","","3","","","","","","","","","","","SG-237 LIGHT BLUE","","","","","","","","",
"265669182224","SCRNGEM423","Decor","","","","Red","Screen Gems","","3","","","","","","","","","","","SG-237 RED","","","","","","","","",
"265690685795","SCRNGE1825","Decor","","","","Red","Screen Gems","","","","","","","","","","","","","SG-237 Washed Grey","","","","","","","","",
"265665566346","SCRNGE1693","Decor","","","","Brown","Screen Gems","","","","","","","","","","","","","SG-237 WBR","","","","","","","","",
"265697912614","SCRNGEM425","Decor","","","","White","Screen Gems","","3","","","","","","","","","","","SG-237 WHITE","","","","","","","","",
"265695307296","SCRNGEM424","Decor","","","","Yellow","Screen Gems","","3","","","","","","","","","","","SG-237 YELLOW","","","","","","","","",
"255534678715","SCRNGEM609","Decor","","Spanish","","","Screen Gems","","","Spanish","","","","","","","","","","SG-244","","","","","","","","",
"265684840965","SCRNGEM611","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-246","","","","","","","","",
"265674147649","SCRNGEM617","Decor","","","","White","Screen Gems","","","","","","","","","","","","","SG-250 Washed White","","","","","","","","",
"255541636885","SCRNGE1631","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-256","","","","","","","","",
"255518011522","SCRNGE1632","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-257","","","","","","","","",
"255488934112","SCRNGE1633","Decor","","","","Black","Screen Gems","","","","","","","","","","","","","SG-258 BLACK","","","","","","","","",
"265698053139","SCRNGE1634","Decor","","","","Red","Screen Gems","","","","","","","","","","","","","SG-258 RED","","","","","","","","",
"265697902184","SCRNGE1625","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-263","","","","","","","","",
"265697974441","SCRNGE1638","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-264","","","","","","","","",
"265697876468","SCRNGE1639","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-265","","","","","","","","",
"265680043592","SCRNGE1790","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-292","","","","","","","","",
"265673977669","SCRNGE1696","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-315","","","","","","","","",
"255488934922","SCRNGE1697","Decor","","Beach","","","Screen Gems","","","Beach","","","","","","","","","","SG-316","","","","","","","","",
"265669174919","SCRNGE1796","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-317","","","","","","","","",
"255509832016","SCRNGE1797","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-318","","","","","","","","",
"255513501395","SCRNGE1798","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-319","","","","","","","","",
"255489055923","SCRNGE1793","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-320","","","","","","","","",
"255528798382","SCRNGE1794","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-321","","","","","","","","",
"255489008701","SCRNGE1795","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-322","","","","","","","","",
"265695303621","SCRNGE1804","Decor","Wood","","","","Screen Gems","","","","","","","","","","","","","SG-323","","","","","","","","",
"265684605465","SCRNGE1805","Decor","Wicker","","","White","Screen Gems","","","","","","","","","","","","","SG-324","","","","","","","","",
"265690780708","SCRNGE1813","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-328","","","","","","","","",
"265684750561","SCRNGE1799","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-329","","","","","","","","",
"255534756046","SCRNGE1800","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-330","","","","","","","","",
"255518000678","SCRNGE1801","Decor","","Classic","","","Screen Gems","","","","","","","","","","","","","SG-331","","","","","","","","",
"255539091791","SCRNGE1802","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-332","","","","","","","","",
"265680049617","SCRNGE1803","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-333","","","","","","","","",
"255518010210","SCRNGE1808","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-334","","","","","","","","",
"265697807584","SCRNGE1809","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-335","","","","","","","","",
"265680024640","SCRNGE2022","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-350","","","","","","","","",
"255534510568","SCRNGE2023","Decor","Gold","Contemporary","","Gold","Screen Gems","","","","","","","","","","","","","SG-351","","","","","","","","",
"265644892053","SCRNGE2025","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-353","","","","","","","","",
"255513217794","SCRNGE2026","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-354","","","","","","","","",
"265665511561","SCRNGE2037","Decor","Bamboo","","","","Screen Gems","","3","","","","","","","","","","","SG-358","","","","","","","","",
"255524143800","SCRNGE2038","Decor","Bamboo","","","","Screen Gems","","4","","","","","","","","","","","SG-358A","","","","","","","","",
"265690765628","SCRNGE2039","Decor","Bamboo","","","","Screen Gems","","3","","","","","","","","","","","SG-359","","","","","","","","",
"265680073582","SCRNGE2040","Decor","Bamboo","","","","Screen Gems","","4","","","","","","","","","","","SG-359A","","","","","","","","",
"265695283943","SCRNGE2042","Decor","Fabric","","","Brown","Screen Gems","","3","","","","","","","","","","","SG-360","","","","","","","","",
"265690782625","SCRNGE2043","Decor","Fabric","","","Beige","Screen Gems","","3","","","","","","","","","","","SG-361","","","","","","","","",
"265668945580","SCRNGE1860","Decor","","","","Brown","Screen Gems","","3","","","","","","","","","","","SG-363 BROWN","","","","","","","","",
"265684729589","SCRNGE1861","Decor","","","","Green","Screen Gems","","3","","","","","","","","","","","SG-363 GREEN","","","","","","","","",
"255509671218","SCRNGE1862","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-363 GREY","","","","","","","","",
"265690607294","SCRNGE1864","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-365","","","","","","","","",
"255523966783","SCRNGE1865","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-367","","","","","","","","",
"255539198309","SCRNGE2045","Decor","","","","","Screen Gems","","3","","","","","","","","","","","SG-368","","","","","","","","",
"265690739938","SCRNGE2046","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-376","","","","","","","","",
"265644864709","SCRNGE1869","Decor","","","","","Screen Gems","","1","","","","","","","","","","","SG-377","","","","","","","","",
"255541711671","SCRNGE2052","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-378","","","","","","","","",
"255541644986","SCRNGE2061","Decor","Fabric","","","","Screen Gems","","3","","","","","","","","","","","SG-379","","","","","","","","",
"265680029111","SCRNGE2062","Decor","Fabric","","","","Screen Gems","","3","","","","","","","","","","","SG-380","","","","","","","","",
"265669062267","SCRNGE2063","Decor","Fabric","","","","Screen Gems","","3","","","","","","","","","","","SG-381","","","","","","","","",
"255489021250","SCRNGE2064","Decor","Fabric","","","","Screen Gems","","3","","","","","","","","","","","SG-382","","","","","","","","",
"265665372793","SCRNGE2067","Decor","Canvas","","","","Screen Gems","","","","","","","","","","","","","SG-383","","","","","","","","",
"255534700590","SCRNGE2068","Decor","Bamboo","","","","Screen Gems","","","","","","","","","","","","","SG-384","","","","","","","","",
"265695296325","SCRNGE2072","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-385","","","","","","","","",
