Item Id,SKU,Brand,Type,Features,Installation Area,Number in Pack,Power Source,Lighting Technology,Smart Home Compatibility,Number of Speeds,Bulb Wattage,Control Style,Color,Material,Energy Star,Mounting,Bulb Shape Code,Current Type,Power Consumption,Connectors,Item Weight,Finish,Smart Home Protocol,Personalize,Voltage,Compatible Brand,Personalized,Year Manufactured,Assembly Required,IP Rating,Model,Item Width,Compatible Product,Country/Region of Manufacture,Item Height,Item Length,MPN,EC Range,California Prop 65 Warning,Custom Bundle,Bundle Description,Compatible Model,LED Chip Code,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Theme,Personalization Instructions,
"255444535586","DBMRL8376","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM982-LED16-VG","","","","","","","","","","","",
"255440698104","DBMRL8375","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM982-LED16-W","","","","","","","","","","","",
"265603579550","DBMRL8374","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM983-B","","","","","","","","","","","",
"265603586227","DBMRL8373","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM983-VG","","","","","","","","","","","",
"255444507333","DBMRL8372","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM983-W","","","","","","","","","","","",
"255444436240","DBMRL8371","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM984-B","","","","","","","","","","","",
"255444525894","DBMRL8382","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM984-VG","","","","","","","","","","","",
"255444414639","DBMRL8381","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM984-W","","","","","","","","","","","",
"255440709219","DBMRL179","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","Brass","","","","","","","","Brass","","","","","","","","","","","","","","","LV114-VG-BLUE","","","","","","","","","","","",
"265603520193","DBMRL180","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","Brass","","","","","","","","Brass","","","","","","","","","","","","","","","LV114-VG-EVERGREEN","","","","","","","","","","","",
"265603572839","DBMRL181","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","Brass","","","","","","","","Brass","","","","","","","","","","","","","","","LV114-VG-JUNGLE","","","","","","","","","","","",
"265612032393","DBMRL8563","Dabmar Lighting","Outdoor Lighting","","","3","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","P-ARM-GM3-BZ","","","","","","","","","","","",
"255444473391","DBMRL2289","Dabmar Lighting","Outdoor Lighting","","","4","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","P-BRK-ST7525-3/L-B","","","","","","","","","","","",
"255444506878","DBMRL2290","Dabmar Lighting","Outdoor Lighting","","","4","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","P-BRK-ST7525-4/L-B","","","","","","","","","","","",
"255444471116","ZX9LIVEX3102","lighting","Outdoor Lighting","","Outdoor","3","","","","3","","","Black","","","","","","","","","Textured","","","","","","","","","","","","","","","LI366607","","","","","","","","","","","",
"255444429651","ZX9ZLD1947","Lucent","Outdoor Lighting","","Outdoor","1","","","","1","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LU704523","","","","","","","","","","","",
"265603534670","ZX9ZLD1948","Lucent","Outdoor Lighting","","Outdoor","1","","","","1","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LU704524","","","","","","","","","","","",
