Item Id,SKU,Sensor Type,Type,Lighting Technology,Installation Area,Brand,Power Source,Features,Number of Lights,Power Consumption,Light Color,Voltage,Number of Settings,Color,Material,IP Rating,Smart Home Compatibility,Control Style,Finish,Mounting,Year Manufactured,Energy Star,Bulb Shape Code,Smart Home Protocol,Item Diameter,Amperage,Lumens,Country/Region of Manufacture,Assembly Required,Manufacturer Warranty,LED Chip Code,Labels & Certifications,MPN,EC Range,Model,Custom Bundle,California Prop 65 Warning,Bulb Life Hours,Bundle Description,Item Height,Item Length,Item Weight,Item Width,Required Tools,
"265612025708","DBMRL431","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4290-GRL","","","","","","","","","","","",
"255453131858","DBMRL432","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4290-GRL-MT","","","","","","","","","","","",
"265612021192","DBMRL423","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4290-MT","","","","","","","","","","","",
"255453136344","DBMRL7741","","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","PAR38","","","","","","","","","","FG4300-LED18-S","","","","","","","","","","","",
"255453149840","DBMRL435","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4310","","","","","","","","","","","",
"265612017569","DBMRL436","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4310-GRL","","","","","","","","","","","",
"265612023203","DBMRL439","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4320","","","","","","","","","","","",
"265612016734","DBMRL444","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4330-GRL","","","","","","","","","","","",
"265612032491","DBMRL447","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4380","","","","","","","","","","","",
"265612038879","DBMRL450","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4380-MED","","","","","","","","","","","",
"265612034472","DBMRL458","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4385-MED","","","","","","","","","","","",
