Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"255581290215","GDNBR204","","Red Sable","","Gordon Brush","12","","","0430-07000","","","","","","","",
"265735803257","GDNBR205","","Red Sable","","Gordon Brush","6","","","0430-08000","","","","","","","",
"255581174198","GDNBR206","","Red Sable","","Gordon Brush","6","","","0430-09000","","","","","","","",
"255581139050","GDNBR207","","Red Sable","","Gordon Brush","6","","","0430-10000","","","","","","","",
"265735865607","GDNBR208","","Red Sable","","Gordon Brush","","","","0430-11000","","","","","","","",
"255581054793","GDNBR209","","Red Sable","","Gordon Brush","12","","","0430-12000","","","","","","","",
"265735831428","GDNBR210","","Ox","","Gordon Brush","","","","0440-00025","","","","","","","",
"255580999229","GDNBR211","","Ox","","Gordon Brush","","","","0440-00037","","","","","","","",
"265735943300","GDNBR212","","Ox","","Gordon Brush","","","","0440-00050","","","","","","","",
"255581036745","GDNBR213","","Ox","","Gordon Brush","24","","","0440-00062","","","","","","","",
"265735801289","GDNBR214","","Ox","","Gordon Brush","24","","","0440-01000","","","","","","","",
"255581121973","GDNBR241","","Sable","","Gordon Brush","","","","0636-02000","","","","","","","",
"255580991572","GDNBR242","","Sable","","Gordon Brush","","","","0636-04000","","","","","","","",
"255581242280","GDNBR243","","Sable","","Gordon Brush","24","","","0636-06000","","","","","","","",
"265735946927","GDNBR244","","Sable","","Gordon Brush","24","","","0636-08000","","","","","","","",
"255580990259","GDNBR245","","Sable","","Gordon Brush","24","","","0636-10000","","","","","","","",
"265735660986","GDNBR248","","Goat","","Gordon Brush","12","","","0662-01000","","","","","","","",
"265735669320","GDNBR249","","Ox","","Gordon Brush","","","","0688-00025","","","","","","","",
"265735749746","GDNBR250","","Ox","","Gordon Brush","","","","0688-00037","","","","","","","",
"255581187623","GDNBR251","","Ox","","Gordon Brush","","","","0688-00050","","","","","","","",
"255581290548","GDNBR252","","Ox","","Gordon Brush","","","","0688-00062","","","","","","","",
"265735947731","GDNBR253","","Ox","","Gordon Brush","","","","0688-00075","","","","","","","",
"255581275404","GDNBR254","","Ox","","Gordon Brush","","","","0688-01000","","","","","","","",
"255581214241","GDNBR261","","Red Sable","","Gordon Brush","","Short","","0703-02000","","","","","","","",
"265735945211","GDNBR262","","Red Sable","","Gordon Brush","","Short","","0703-04000","","","","","","","",
"255581153603","GDNBR263","","Red Sable","","Gordon Brush","","Short","","0703-06000","","","","","","","",
"255581247457","GDNBR265","","Red Sable","","Gordon Brush","24","Short","","0703-10000","","","","","","","",
"265735850693","GDNBR267","","Black Sable","","Gordon Brush","","","","0725-00025","","","","","","","",
"265735937274","GDNBR268","","Black Sable","","Gordon Brush","","","","0725-00050","","","","","","","",
"265735798173","GDNBR269","","Black Sable","","Gordon Brush","","","","0725-00062","","","","","","","",
"255581201070","GDNBR270","","Black Sable","","Gordon Brush","","","","0725-00075","","","","","","","",
"255580958279","GDNBR271","","Black Sable","","Gordon Brush","","","","0725-01000","","","","","","","",
"265735665240","GDNBR272","","Red Sable","","Gordon Brush","","","","0733-02000","","","","","","","",
"265735814942","GDNBR273","","Red Sable","","Gordon Brush","","","","0733-04000","","","","","","","",
"265735730716","GDNBR274","","Red Sable","","Gordon Brush","","","","0733-06000","","","","","","","",
"255580979066","GDNBR275","","Red Sable","","Gordon Brush","24","","","0733-08000","","","","","","","",
"255581135442","GDNBR276","","Red Sable","","Gordon Brush","24","","","0733-10000","","","","","","","",
"255581009961","GDNBR277","","Red Sable","","Gordon Brush","24","","","0733-12000","","","","","","","",
"255581103334","GDNBR278","","Ox","","Gordon Brush","","","","0740-00025","","","","","","","",
"255581151842","GDNBR279","","Ox","","Gordon Brush","","","","0740-00037","","","","","","","",
"255581254298","GDNBR280","","Ox","","Gordon Brush","","","","0740-00050","","","","","","","",
"265735936810","GDNBR281","","Ox","","Gordon Brush","24","","","0740-00062","","","","","","","",
"265735824574","GDNBR282","","Ox","","Gordon Brush","24","","","0740-00075","","","","","","","",
"255581182198","GDNBR283","","Ox","","Gordon Brush","24","","","0740-01000","","","","","","","",
"265735818045","GDNBR284","","Ox","","Gordon Brush","","","","0742-00025","","","","","","","",
