Item Id,SKU,Fuel Type,Brand,Type,Material,Suitable For,Features,Color,Energy Star,Style,Room,Year Manufactured,Assembly Required,BTU Heating Rating,Ventilation System,Smart Home Protocol,Smart Home Compatibility,Item Depth,Item Length,Item Width,Heating Technology,Item Height,Item Weight,Model,Country/Region of Manufacture,Custom Bundle,Bundle Description,EC Range,MPN,California Prop 65 Warning,Coverage,Finish,Mounting,Number of Settings,Orientation,Power,
"265897115191","ZX9CUIC10032","","Vecindario","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","VE1725272","","","","","","","",
"255728743561","ZX9RMHD843","","BluePrints","Fireplaces","","","","","","","","","","","","","Ring","","","","","","","","","","","","BL2646326","","","","","","","",
"265668940185","ZX9RMHD889","","BluePrints","Fireplaces","","","","","","","","","","","","","Ring","","","","","","","","","","","","BL1667821","","","","","","","",
"265887518568","ZX9CUIC6377","Gas","Mobiliario","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","MO2559921","","","","","","","",
"265644892842","ZX9TRT302","","Sleep EZ","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","SL1621599","","","","","","","",
"265883972415","ZX9TRT301","Gas","Sleep EZ","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","SL2500101","","","","","","","",
"255737698601","ZX9ORGL68313","Wood","PalaceDesigns","Fireplaces","","","","","","","","","","","","","Universal","","","","","","","","","","","","PA2630494","","","","","","","",
"265644748957","CUIC6411","","Empire","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","LS18RSS","","","","","","","",
"255575052559","CUIC6410","","Empire","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","LS24RSS","","","","","","","",
"255528834837","CUIC5091","","Empire","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","LS30RS","","","","","","","",
"255528869385","CUIC6384","","Empire","Fireplaces","Ceramic","","","","","","","","","","","","","","","","","","","","","","","","VFDR18LBP","","","","","","","",
