Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255575088094","JECO4760","Decor","Jeco","Lavender","","","","","","","2","","","","","","","","","","","","CFZ-039_12","","","","","","","",
"255509691062","JECO5316","Decor","Jeco","Lavender","","","","","","","2","","","","","","","","","","","","CFZ-039_4","","","","","","","",
"265690727716","JECO4759","Decor","Jeco","","","","","","Purple","","2","","","","","","","","","","","","CFZ-040_12","","","","","","","",
"265665523944","JECO5317","Decor","Jeco","","","","","","Purple","","2","","","","","","","","","","","","CFZ-040_4","","","","","","","",
"265674040469","JECO4758","Decor","Jeco","","","","","","Brown","","2","","","","","","","","","","","","CFZ-041_12","","","","","","","",
"265697785685","JECO4757","Decor","Jeco","","","","","","Black","","2","","","","","","","","","","","","CFZ-042_12","","","","","","","",
"255737893315","JECO4756","Decor","Jeco","","","","","","Gold","","2","","","","","","","","","","","","CFZ-043_12","","","","","","","",
"265730046881","JECO4755","Decor","Jeco","","","","","","Silver","","2","","","","","","","","","","","","CFZ-044_12","","","","","","","",
"255725003646","JECO5331","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-046_12","","","","","","","",
"255725311348","JECO4485","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-046_12_0","","","","","","","",
"265698022035","JECO5325","Decor","Jeco","Rose","","Rose","","","","","3","","","","","","","","","","","","CFZ-047_12","","","","","","","",
"255523986509","JECO4488","Decor","Jeco","Rose","","Rose","","","","","3","","","","","","","","","","","","CFZ-047_12_0","","","","","","","",
"265695290156","JECO5326","Decor","Jeco","","","","","","Pink","","3","","","","","","","","","","","","CFZ-048_12","","","","","","","",
"265674045434","JECO4491","Decor","Jeco","","","","","","Pink","","3","","","","","","","","","","","","CFZ-048_12_0","","","","","","","",
"265674045201","JECO5329","Decor","Jeco","","","","","","Yellow","","3","","","","","","","","","","","","CFZ-049_12","","","","","","","",
"255488940417","JECO4494","Decor","Jeco","","","","","","","","3","","","","","","","","","","","","CFZ-049_12_0","","","","","","","",
"255509919184","JECO4743","Decor","Jeco","","","","","","Yellow","","3","","","","","","","","","","","","CFZ-049_6","","","","","","","",
