Item Id,SKU,Color,Size,Brand,Type,Weave,Regional Design,Shape,Material,Production Technique,Room,Style,Pattern,Theme,Features,Pile Height,Country/Region of Manufacture,Item Width,Care Instructions,Pile Type,Department,Handmade,Personalize,Personalized,Era,Item Length,Time Period Manufactured,Original/Reproduction,Item Thickness,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265674026205","ZX9GTMY11605","","","Micasa","Area Rugs","","","Rectangle","Jute","Woven","","","Solid","","","","","","","","","","","","","","","","","MI1786535","","","","","",
"255513177956","ZX9GTMY11610","","","Micasa","Area Rugs","","","Rectangle","Jute","Woven","","","Solid","","","","","","","","","","","","","","","","","MI1556678","","","","","",
"265669444556","ZX9GTMY12048","Beige","","Micasa","Area Rugs","","","Rectangle","Jute","Woven","","","Striped","","","","","","","","","","","","","","","","","MI1557591","","","","","",
"255513571108","ZX9GTMY12103","","","Micasa","Area Rugs","","Kilim","Rectangle","Jute","Woven","","Contemporary","","","","","","","","","","","","","","","","","","MI1559009","","","","","",
"255489075624","ZX9GTMY11645","","","Micasa","Rugs","","Kilim","Rectangle","Jute","Woven","","","","","","","","","","","","","","","","","","","","MI1552326","","","","","",
"265695283978","ZX9GTMY11640","","","Micasa","Rugs","","Kilim","Rectangle","Jute","Woven","","","","","","","","","","","","","","","","","","","","MI1557576","","","","","",
"265669454063","ZX9GTMY11635","","","Micasa","Rugs","","Kilim","Rectangle","Jute","Woven","","","","","","","","","","","","","","","","","","","","MI1552325","","","","","",
"265698021958","ZX9GTMY11630","","","Micasa","Rugs","","Kilim","Rectangle","Jute","Woven","","","","","","","","","","","","","","","","","","","","MI1554714","","","","","",
"265897170727","ZX9SFVH154518","Black","","Flowers First","Area Rugs","Flat Weave","Kilim","Rectangle","","","","Contemporary","","","","Flat","","","","","","","","","","","","","","FL1887931","","","","","",
"255725218895","ZX9OCNTR51316","Blue","","PalaceDesigns","Area Rugs","","","","","","","","Distressed","","","","","","","","","","","","","","","","","PA2627656","","","","","",
"265883962625","ZX9OCNTR55677","Gray","","PalaceDesigns","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","PA2627821","","","","","",
"255518270488","ZX9GTMY9676","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552444","","","","","",
"255518173242","ZX9GTMY10954","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554682","","","","","",
"265697850713","ZX9GTMY10434","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556795","","","","","",
"265695320424","ZX9GTMY10911","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1556641","","","","","",
"255529010975","ZX9GTMY9656","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1559107","","","","","",
"265669258236","ZX9GTMY9706","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1554835","","","","","",
"265680165853","ZX9GTMY11451","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1552312","","","","","",
"265674147716","ZX9GTMY9810","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1624682","","","","","",
"265644842182","ZX9GTMY10964","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1624513","","","","","",
"265680033654","ZX9GTMY10922","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1553310","","","","","",
"265669306901","ZX9GTMY10445","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1550608","","","","","",
"265697803520","ZX9GTMY11429","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1550644","","","","","",
"265679920038","ZX9GTMY10466","","","Micasa","Rugs","","","Rectangle","Polyester","Woven","","","","","","","","","","","","","","","","","","","","MI1624492","","","","","",
