Item Id,SKU,Material,Brand,Subject,Theme,Type,Style,Color,Size,Shape,Character Family,Character,Room,Country/Region of Manufacture,Mounting,Department,Personalize,Additional Parts Required,Features,Item Width,Item Height,Item Length,Glassmaking Technique,Battery Type,Finish,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Weight,Model,Product Line,Personalization Instructions,
"265896990785","ZX9SPIHM195","","Ricki\'s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI686497","","","","","","","","","",
"255728785767","ZX9SPIHM3006","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2485318","","","","","","","","","",
"265680157225","ZX9EPAD1971","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO1527117","","","","","","","","","",
"255509837321","ZX9EPAD1968","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO1539968","","","","","","","","","",
"265668948986","ZX9EPAD1967","","Solid Storage Supplies","","","Decor","","","","","","Key","","","","","","","","","","","","","","SO1536929","","","","","","","","","",
"265690742297","ZX9EPAD1970","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO952128","","","","","","","","","",
"265680103974","ZX9EPAD1957","","Solid Storage Supplies","Motorcycle","","Decor","","","","","","","","","","","","","","","","","","","","SO1546143","","","","","","","","","",
"265884021934","ZX9EPAD1826","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO2573283","","","","","","","","","",
"255534604383","ZX9EPAD1906","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO1536928","","","","","","","","","",
"255728775581","ZX9EPAD1910","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO2573291","","","","","","","","","",
"265883944841","ZX9EPAD2102","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO2573331","","","","","","","","","",
"265896899908","ZX9EPAD1920","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO2573294","","","","","","","","","",
"265887606032","TRDX1049","","Q-Max","","Fantasy","Decor","","","","","Dragon","","","","","","","","","","","","","","","GSC9971495","","","","","","","","","",
"265896954876","TRDX790","","Q-Max","Parrot","Fantasy","Decor","","","","","","","","","","","","","","","","","","","","GSC9991969","","","","","","","","","",
"265887619092","TRDX969","","Q-Max","Wolf","","Decor","","","","","","","","","","","","","","","","","","","","GSC9992016","","","","","","","","","",
"265680077095","ZX9EPAD2653","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO2090194","","","","","","","","","",
"265684882915","ZX9EPAD2639","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO2090193","","","","","","","","","",
"255509892592","ZX9EPAD2654","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO1726573","","","","","","","","","",
"255518156191","ZX9EPAD2637","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO1727258","","","","","","","","","",
"255728686415","ZX9EPAD2640","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO2244122","","","","","","","","","",
"255488899136","ZX9EPAD2652","Metal","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","Etched","","","SO1729065","","","","","","","","","",
"255724972791","ZX9SPIHM3229","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","LED","","","","","","","RI2486414","","","","","","","","","",
"255728679978","ZX9SPIHM3004","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2486413","","","","","","","","","",
"265887645632","ZX9SPIHM3001","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2468270","","","","","","","","","",
"265883913857","ZX9SPIHM193","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2490944","","","","","","","","","",
"255513090120","TWSCM1110","Resin","Tozai Home","","","Decor","","Silver","","","","","","","","","","","","","","","","","","SND101-S2","","","","","","","","","",
"265883917795","SPIHM287","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","33337","","","","","","","","","",
"265896965108","SPIHM199","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","33723","","","","","","","","","",
"265669370120","SPIHM193","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","33789","","","","","","","","","",
"255539117582","SPIHM144","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","33879","","","","","","","","","",
"265887532406","SPIHM2968","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","34792","","","","","","","","","",
"265897128076","SPIHM2971","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34795","","","","","","","","","",
"255737901477","SPIHM2973","","SPI Home","Frog","","Decor","","","","","Daredevil","Daredevil","","","","","","","","","","","","","","34797","","","","","","","","","",
"265697919912","SPIHM2977","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34801","","","","","","","","","",
"265690676270","SPIHM2995","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34868","","","","","","","","","",
"265674184735","SPIHM3001","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34874","","","","","","","","","",
"255524101548","SPIHM3002","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34875","","","","","","","","","",
"265684727044","SPIHM3004","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34878","","","","","","","","","",
"255728725419","SPIHM3006","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","34880","","","","","","","","","",
"265887845809","SPIHM3031","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","34906","","","","","","","","","",
"255509974147","SPIHM3229","","SPI Home","Frog","","Decor","","","","","","","","","","","","","LED","","","","","","","34937","","","","","","","","","",
"265684871634","SPIHM3404","Brass","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","41050","","","","","","","","","",
"255738026608","SPIHM195","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","50869","","","","","","","","","",
"255524184344","SPIHM3076","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","51069","","","","","","","","","",
"255534619230","SPIHM3534","Aluminum","SPI Home","Giraffes","","Decor","","","","","","","","","","","","","","","","","","","","53023","","","","","","","","","",
"265697790825","SPIHM3551","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","53043","","","","","","","","","",
"265644755209","SPIHM3552","","SPI Home","Frog","","Decor","","","","","","","","","","","","","","","","","","","","53044","","","","","","","","","",
"265684767355","SPIHM3553","","SPI Home","","","Decor","","","","","","","","","","","","","","","","","","","","53045","","","","","","","","","",
"265897110584","SPIHM1366","","SPI Home- San Pacific Intl","","","Decor","","","","","","","","","","","","","","","","","","","","34024","","","","","","","","","",
"255529072105","SPIHM1357","","SPI Home- San Pacific Intl","","","Decor","","","","","","","","","","","","","","","","","","","","34134","","","","","","","","","",
"265680000943","SPIHM1322","","SPI Home- San Pacific Intl","","","Decor","","","","","","","","","","","","","","","","","","","","50872","","","","","","","","","",
"255725172729","ZX9SPIHM2995","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2486412","","","","","","","","","",
"265697897492","ZX9EPAD2728","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO1726574","","","","","","","","","",
"265697786223","UBNT11388","Metal","Urban Trends Collection","","","Decor","","","","","","","","","","","","","","","","","","","","31079","","","","","","","","","",
"265318593187","307678","Glass","WGK Glass","Giraffes","Animals & Dinosaurs","Gifts","Contemporary","Brown","6 in","","Giraffes","","","","","","","","","","","6 in","","","","e33-18L","","","","","","","","","",
